# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1772985802084000000,1772985860753000000,1882
VFS.folderCaseSensitivityReads,1772985802084000000,1772985860753000000,4
VFS.fileChildByName,1772985802084000000,1772985860753000000,4058
VFS.invertedFileNameIndex.requests,1772985802084000000,1772985860753000000,8
VFS.fileByIdCache.hits,1772985802084000000,1772985860753000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1772985802084000000,1772985860753000000,0
Indexes.allKeys.lookupDurationMaxMs,1772985802084000000,1772985860753000000,0.0
Indexing.cache.totalCacheMisses,1772985802084000000,1772985860753000000,4142
Indexes.entries.lookups,1772985802084000000,1772985860753000000,790
Indexing.writer_3.totalTimeSpentWritingMs,1772985802084000000,1772985860753000000,0
Indexes.allKeys.lookups,1772985802084000000,1772985860753000000,0
Indexes.allKeys.lookupDuration90PMs,1772985802084000000,1772985860753000000,0.0
Indexes.stubs.lookupDurationAvgMs,1772985802084000000,1772985860753000000,1.7542823390431188
Indexing.writesQueuedMax,1772985802084000000,1772985860753000000,0
Indexes.entries.lookupDurationAvgMs,1772985802084000000,1772985860753000000,0.8257107540173053
Indexes.allKeys.lookupDurationAvgMs,1772985802084000000,1772985860753000000,0.0
Indexing.writesQueuedMin,1772985802084000000,1772985860753000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1772985802084000000,1772985860753000000,0
Indexes.stubs.lookupDurationMaxMs,1772985802084000000,1772985860753000000,1007.0
Indexes.stubs.lookups,1772985802084000000,1772985860753000000,3350
Indexing.writer_0.totalTimeSpentWritingMs,1772985802084000000,1772985860753000000,0
Indexes.entries.lookupDurationMaxMs,1772985802084000000,1772985860753000000,42.0
Indexes.stubs.lookupDuration90PMs,1772985802084000000,1772985860753000000,3.0
Indexing.cache.totalCacheAccesses,1772985802084000000,1772985860753000000,16999
Indexing.writesQueuedAvg,1772985802084000000,1772985860753000000,0.0
Indexing.totalTimeIndexersSleptMs,1772985802084000000,1772985860753000000,0
Indexes.entries.lookupDuration90PMs,1772985802084000000,1772985860753000000,1.0
Indexing.cache.totalCacheEvicted,1772985802084000000,1772985860753000000,4142
cacheStateStorage.get.duration,1772985802084000000,1772985860753000000,260
cacheStateStorage.get.counter,1772985802084000000,1772985860753000000,25
cacheStateStorage.set.duration,1772985802084000000,1772985860753000000,34
cacheStateStorage.set.counter,1772985802084000000,1772985860753000000,3
jps.artifact.entities.serializer.load.entities.ms,1772985802084000000,1772985860753000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772985802084000000,1772985860753000000,1
jps.facet.change.listener.init.bridge.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772985802084000000,1772985860753000000,1
jps.app.storage.content.reader.load.component.ms,1772985802084000000,1772985860753000000,14
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772985802084000000,1772985860753000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1772985802084000000,1772985860753000000,7
workspaceModel.mutableEntityStorage.referrers.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772985802084000000,1772985860753000000,0
jps.global.handle.before.change.events.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772985802084000000,1772985860753000000,0
workspaceModel.orphan.listener.update.ms,1772985802084000000,1772985860753000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1772985802084000000,1772985860753000000,2
workspaceModel.mutableEntityStorage.instances.count,1772985802084000000,1772985860753000000,28
workspaceModel.global.updates.ms,1772985802084000000,1772985860753000000,22
jps.global.initialize.library.bridges.after.loading.ms,1772985802084000000,1772985860753000000,5
workspaceModel.moduleManagerBridge.load.module.ms,1772985802084000000,1772985860753000000,0
jps.save.global.entities.ms,1772985802084000000,1772985860753000000,203
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772985802084000000,1772985860753000000,0
workspaceModel.sync.entities.ms,1772985802084000000,1772985860753000000,0
jps.global.get.libraries.ms,1772985802084000000,1772985860753000000,2
jps.load.project.to.empty.storage.ms,1772985802084000000,1772985860753000000,243
workspaceModel.delayed.project.synchronizer.sync.ms,1772985802084000000,1772985860753000000,283
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772985802084000000,1772985860753000000,889
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772985802084000000,1772985860753000000,19
workspaceModel.mutableEntityStorage.add.entity.ms,1772985802084000000,1772985860753000000,62
jps.global.handle.changed.events.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772985802084000000,1772985860753000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1772985802084000000,1772985860753000000,211
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772985802084000000,1772985860753000000,1
jps.reload.project.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleBridge.update.option.ms,1772985802084000000,1772985860753000000,0
workspaceModel.global.apply.state.to.project.ms,1772985802084000000,1772985860753000000,310
jps.module.iml.entities.serializer.save.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772985802084000000,1772985860753000000,14
jps.module.iml.entities.serializer.load.entities.ms,1772985802084000000,1772985860753000000,52
workspaceModel.global.apply.state.to.project.builder.ms,1772985802084000000,1772985860753000000,8
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772985802084000000,1772985860753000000,0
jps.project.serializers.save.ms,1772985802084000000,1772985860753000000,13
workspaceModel.load.cache.from.file.ms,1772985802084000000,1772985860753000000,1454
jps.storage.jps.conf.reader.load.component.ms,1772985802084000000,1772985860753000000,16
jps.facet.change.listener.before.change.events.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772985802084000000,1772985860753000000,41
jps.global.get.library.ms,1772985802084000000,1772985860753000000,0
jps.app.storage.content.writer.save.component.ms,1772985802084000000,1772985860753000000,103
workspaceModel.load.cache.metadata.from.file.ms,1772985802084000000,1772985860753000000,118
workspaceModel.moduleBridge.before.changed.ms,1772985802084000000,1772985860753000000,0
workspaceModel.save.cache.to.file.ms,1772985802084000000,1772985860753000000,158
jps.facet.change.listener.process.change.events.ms,1772985802084000000,1772985860753000000,1
jps.project.serializers.load.ms,1772985802084000000,1772985860753000000,100
jps.global.get.library.by.name.ms,1772985802084000000,1772985860753000000,0
jps.global.initialize.library.bridges.ms,1772985802084000000,1772985860753000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772985802084000000,1772985860753000000,0
jps.artifact.entities.serializer.save.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772985802084000000,1772985860753000000,130
jps.library.entities.serializer.save.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772985802084000000,1772985860753000000,8
workspaceModel.global.updates.count,1772985802084000000,1772985860753000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772985802084000000,1772985860753000000,8
workspaceModel.mutableEntityStorage.resolve.ms,1772985802084000000,1772985860753000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772985802084000000,1772985860753000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772985802084000000,1772985860753000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772985802084000000,1772985860753000000,2
jps.library.entities.serializer.load.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.do.save.caches.ms,1772985802084000000,1772985860753000000,179
jps.apply.loaded.storage.ms,1772985802084000000,1772985860753000000,36
jps.load.initial.state.ms,1772985802084000000,1772985860753000000,56
workspaceModel.mutableEntityStorage.remove.entity.ms,1772985802084000000,1772985860753000000,0
jps.save.changed.project.entities.ms,1772985802084000000,1772985860753000000,14
workspaceModel.loading.total.ms,1772985802084000000,1772985860753000000,1663
workspaceModel.on.changed.ms,1772985802084000000,1772985860753000000,146
workspaceModel.to.snapshot.ms,1772985802084000000,1772985860753000000,2
workspaceModel.updates.ms,1772985802084000000,1772985860753000000,316
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772985802084000000,1772985860753000000,7
workspaceModel.check.recursive.update.ms,1772985802084000000,1772985860753000000,1
workspaceModel.cachedValue.from.cache.count,1772985802084000000,1772985860753000000,70
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.updates.count,1772985802084000000,1772985860753000000,3
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772985802084000000,1772985860753000000,0
workspaceModel.collect.changes.ms,1772985802084000000,1772985860753000000,0
workspaceModel.update.unloaded.entities.ms,1772985802084000000,1772985860753000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772985802084000000,1772985860753000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772985802084000000,1772985860753000000,20
workspaceModel.cachedValueWithParameters.from.cache.count,1772985802084000000,1772985860753000000,0
workspaceModel.init.bridges.ms,1772985802084000000,1772985860753000000,3
workspaceModel.cachedValue.clear.count,1772985802084000000,1772985860753000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1772985802084000000,1772985860753000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772985802084000000,1772985860753000000,2636
workspaceModel.replace.project.model.ms,1772985802084000000,1772985860753000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772985802084000000,1772985860753000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772985802084000000,1772985860753000000,93
workspaceModel.on.before.changed.ms,1772985802084000000,1772985860753000000,98
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772985802084000000,1772985860753000000,280
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772985802084000000,1772985860753000000,209
workspaceModel.workspaceFileIndexData.instances.count,1772985802084000000,1772985860753000000,1
workspaceModel.initializing.ms,1772985802084000000,1772985860753000000,3
workspaceModel.cachedValue.total.get.count,1772985802084000000,1772985860753000000,80
workspaceModel.full.replace.project.model.ms,1772985802084000000,1772985860753000000,9
workspaceModel.loading.from.cache.ms,1772985802084000000,1772985860753000000,1419
workspaceModel.cachedValueWithParameters.calculated.count,1772985802084000000,1772985860753000000,0
workspaceModel.cachedValue.calculated.count,1772985802084000000,1772985860753000000,10
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772985802084000000,1772985860753000000,1
workspaceModel.pre.handlers.ms,1772985802084000000,1772985860753000000,1
workspaceModel.updates.precise.ms,1772985802084000000,1772985860753000000,64
workspaceModel.workspaceFileIndexData.init.ms,1772985802084000000,1772985860753000000,147
compiler.ArtifactManagerBridge.getArtifacts.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.commit.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772985802084000000,1772985860753000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772985802084000000,1772985860753000000,0
DirectByteBufferAllocator.disposed,1772985802084000000,1772985860753000000,423
DirectByteBufferAllocator.hits,1772985802084000000,1772985860753000000,3
MappedFileStorage.totalBytesMapped,1772985802084000000,1772985860753000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772985802084000000,1772985860753000000,45591
DirectByteBufferAllocator.reclaimed,1772985802084000000,1772985860753000000,45
FilePageCache.pageLoads,1772985802084000000,1772985860753000000,426
DirectByteBufferAllocator.misses,1772985802084000000,1772985860753000000,423
FilePageCache.disposedBuffers,1772985802084000000,1772985860753000000,426
FilePageCache.capacityInBytes,1772985802084000000,1772985860753000000,629145600
FilePageCache.totalPageLoadsUs,1772985802084000000,1772985860753000000,1832810
FilePageCache.pageHits,1772985802084000000,1772985860753000000,18
FilePageCache.maxCacheSizeInBytes,1772985802084000000,1772985860753000000,441466880
FileChannelInterruptsRetryer.totalRetriedAttempts,1772985802084000000,1772985860753000000,0
StorageLockContext.competingThreads.90P,1772985802084000000,1772985860753000000,0
FilePageCache.uncachedFileAccess,1772985802084000000,1772985860753000000,342
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772985802084000000,1772985860753000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772985802084000000,1772985860753000000,0
StorageLockContext.competingThreads.max,1772985802084000000,1772985860753000000,6
StorageLockContext.competingThreads.avg,1772985802084000000,1772985860753000000,0.08035714285714286
MappedFileStorage.totalPagesMapped,1772985802084000000,1772985860753000000,0
MappedFileStorage.storages,1772985802084000000,1772985860753000000,0
FilePageCache.totalPageDisposalsUs,1772985802084000000,1772985860753000000,5333
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772985802084000000,1772985860753000000,41959424
FilePageCache.pageFastCacheHits,1772985802084000000,1772985860753000000,11163
FilePageCache.maxRegisteredFiles,1772985802084000000,1772985860753000000,1025
NonBlockingReadAction.failedExecutionsCount,1772985802084000000,1772985860753000000,0
AWTEventQueue.dispatchTimeTotalNS,1772985802084000000,1772985860753000000,14077642864
FlushQueue.executionTimeAvgNs,1772985802084000000,1772985860753000000,5124019.403289847
FlushQueue.waitingTimeMaxNs,1772985802084000000,1772985860753000000,1593835519
WriteAction.executionsCount,1772985802084000000,1772985860753000000,11
FlushQueue.waitingTimeAvgNs,1772985802084000000,1772985860753000000,1.8063268537719795E8
ReadAction.executionsCount,1772985802084000000,1772985860753000000,54372
FlushQueue.queueSizeAvg,1772985802084000000,1772985860753000000,20.98298355076574
FlushQueue.waitingTime90PNs,1772985802084000000,1772985860753000000,696254463
AWTEventQueue.eventsDispatched,1772985802084000000,1772985860753000000,1078
FlushQueue.tasksExecuted,1772985802084000000,1772985860753000000,1763
NonBlockingReadAction.finalizedExecutionsCount,1772985802084000000,1772985860753000000,3
NonBlockingReadAction.failedExecutionTimeUs,1772985802084000000,1772985860753000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1772985802084000000,1772985860753000000,295981
FlushQueue.queueSizeMax,1772985802084000000,1772985860753000000,116
FlushQueue.executionTime90PNs,1772985802084000000,1772985860753000000,3489791
AWTEventQueue.dispatchTime90PNs,1772985802084000000,1772985860753000000,20971519
AWTEventQueue.dispatchTimeAvgNs,1772985802084000000,1772985860753000000,1.3060172942486085E7
AWTEventQueue.dispatchTimeMaxNs,1772985802084000000,1772985860753000000,1459617791
FlushQueue.queueSize90P,1772985802084000000,1772985860753000000,62
FlushQueue.executionTimeMaxNs,1772985802084000000,1772985860753000000,1459617791
JVM.totalBytesAllocated,1772985802084000000,1772985860753000000,2589390152
JVM.committedHeapBytes,1772985802084000000,1772985860753000000,497025024
MEM.ramPlusSwapMinusFileMappingsBytes,1772985802084000000,1772985860753000000,1075757056
JVM.totalTimeToSafepointsMs,1772985802084000000,1772985860753000000,206
JVM.totalTimeAtSafepointsMs,1772985802084000000,1772985860753000000,1309
JVM.totalDirectByteBuffersBytes,1772985802084000000,1772985860753000000,6795536
MEM.ramBytes,1772985802084000000,1772985860753000000,1021730816
JVM.totalCpuTimeMs,1772985802084000000,1772985860753000000,131150
OS.loadAverage,1772985802084000000,1772985860753000000,5.85693359375
JVM.totalSafepointCount,1772985802084000000,1772985860753000000,180
JVM.maxHeapBytes,1772985802084000000,1772985860753000000,2147483648
JVM.GC.collections,1772985802084000000,1772985860753000000,48
JVM.usedHeapBytes,1772985802084000000,1772985860753000000,312954832
JVM.newThreadsCount,1772985802084000000,1772985860753000000,132
MEM.fileMappingsRamBytes,1772985802084000000,1772985860753000000,396791808
MEM.ramMinusFileMappingsBytes,1772985802084000000,1772985860753000000,624902144
JVM.GC.collectionTimesMs,1772985802084000000,1772985860753000000,1249
JVM.maxThreadCount,1772985802084000000,1772985860753000000,121
JVM.threadCount,1772985802084000000,1772985860753000000,118
JVM.usedNativeBytes,1772985802084000000,1772985860753000000,377417552
lexer.JAVA.size.bytes,1772985802084000000,1772985860753000000,229379
DiskQueryRelay.tasksExecuted,1772985802084000000,1772985860753000000,3491
lexer.JAVA.time.ns,1772985802084000000,1772985860753000000,22434845
DiskQueryRelay.tasksRequested,1772985802084000000,1772985860753000000,11640
DiskQueryRelay.taskWaitingTotalTimeUs,1772985802084000000,1772985860753000000,8992612
writeAction.median.wait.ms,1772985802084000000,1772985860753000000,0
writeAction.max.wait.ms,1772985802084000000,1772985860753000000,10
writeAction.count,1772985802084000000,1772985860753000000,11
parser.JAVA.time.ns,1772985802084000000,1772985860753000000,349591603
parser.JAVA.size.bytes,1772985802084000000,1772985860753000000,231005
writeAction.wait.ms,1772985802084000000,1772985860753000000,30
DiskQueryRelay.taskExecutionTotalTimeUs,1772985802084000000,1772985860753000000,1227125
